Disease,Description,Findings_1,Findings_2
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",,
Fractured Teeth,"A break or crack in the tooth structure, often caused by trauma, grinding, or biting hard objects.",Pain while biting or chewing.,Visible crack or uneven tooth surface.
hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,,
Tuberculosis (TB),"A bacterial infection caused by Mycobacterium tuberculosis, primarily affecting the lungs.","Upper lobe opacities, cavitations, and nodules.",Hilar lymphadenopathy and pleural effusion in some cases.
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",,
Membranous and Gangrenous Cholecystitis,"These are severe forms of cholecystitis. Membranous cholecystitis involves the formation of fibrinous membranes on the gallbladder lining due to prolonged inflammation. Gangrenous cholecystitis occurs when gallbladder tissue undergoes necrosis, often due to ischemia from increased intraluminal pressure. These conditions require urgent medical intervention.",Irregular or thickened gallbladder wall with echogenic debris.,Presence of intraluminal membranes or necrotic tissue.
Spondylolisthesis,"Spondylolisthesis is the forward displacement of one vertebra over the one below it, most commonly at the L5-S1 level. It may be caused by congenital defects, trauma, degenerative changes, or repetitive stress. It can lead to nerve compression, resulting in pain, weakness, and reduced mobility.","Anterior displacement of a vertebral body relative to the one below, measured in grades (I to IV).",Possible narrowing of the intervertebral disc space and signs of facet joint instability or nerve root compression.
(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,,
Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,,
Cholecystitis,"Cholecystitis is the inflammation of the gallbladder, often due to obstruction of the cystic duct by gallstones. It can present acutely with right upper quadrant pain, fever, and nausea. Chronic cholecystitis results from repeated inflammation episodes, leading to fibrosis and dysfunction. Ultrasound findings may show gallbladder wall thickening, pericholecystic fluid, and a positive sonographic Murphy’s sign.",Gallbladder wall thickening greater than 3 mm.,Presence of pericholecystic fluid or positive Murphy’s sign on ultrasound.
Coronavirus (COVID-19),"Coronavirus disease 2019 is a contagious disease caused by the coronavirus SARS-CoV-2. In January 2020, the disease spread worldwide, resulting in the COVID-19 pandemic. The symptoms of COVID‑19 can vary but often include fever, fatigue, cough, breathing difficulties, loss of smell, and loss of taste.","Bilateral, peripheral ground-glass opacities.","Patchy consolidations, often in the lower lobes."
Infection,"The invasion of tooth, gum, or surrounding tissues by bacteria, often leading to abscess formation, pain, and swelling.","Swelling, redness, or pus in the affected area.","Persistent pain, especially when chewing or touching the area."
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",,
Fractured Bone,"A fractured bone refers to a break or discontinuity in the bone structure, which can occur due to trauma, stress, or pathological conditions. Fractures may present as simple (closed) or complex (open), with varying patterns such as transverse, oblique, spiral, comminuted, or greenstick fractures. X-ray findings typically reveal a visible break, cortical disruption, displacement, or misalignment of bone fragments","Discontinuity in the cortical bone, visible as a radiolucent (dark) line across the bone structure.","Possible soft tissue swelling, misalignment, or displacement of bone fragments depending on the severity and type of fracture."
Not Fractured,"A normal, intact bone without any visible disruption in its cortical structure. The alignment and integrity of the bony landmarks remain preserved across all anatomical regions. No evidence of acute trauma, stress, or pathological processes affecting bone continuity.",Intact cortical margins with uniform bone density and no radiolucent lines or disruptions.,"Proper anatomical alignment, with no evidence of displacement, angulation, or soft tissue abnormalities."
Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",,
Normal Chest,"Lungs, heart, and mediastinal structures appear normal without any pathology.",Clear lung fields with normal vascular markings.,Normal heart size and sharp diaphragmatic outline.
Tumor,"A brain tumor is a growth of cells in the brain or near it. Brain tumors can happen in the brain tissue. Brain tumors also can happen near the brain tissue. Nearby locations include nerves, the pituitary gland, the pineal gland, and the membranes that cover the surface of the brain.",,
Healthy Teeth,"A tooth that is intact, free of decay, disease, or structural damage, and performs its function effectively.","Smooth, white enamel with no discoloration.",Firm gums with no swelling or bleeding.
Normal Brain,"A normal brain shows intact structural and vascular anatomy with no evidence of ischemic changes, hemorrhage, mass effect, or abnormal signal intensities. Cerebral perfusion is within normal limits, and gray-white matter differentiation is preserved. Ventricular size and midline structures remain unshifted, with no signs of increased intracranial pressure or cerebrovascular compromise.",Normal brain parenchyma with preserved gray-white matter differentiation and no focal lesions.,"Symmetrical vascular flow with no evidence of stenosis, thrombosis, or aneurysm."
Brain Stroke,"A brain stroke is a medical emergency resulting from a disruption of blood flow to the brain, leading to ischemia or hemorrhage. Strokes are classified as ischemic (due to vessel occlusion) or hemorrhagic (due to vessel rupture). Imaging may show loss of gray-white matter differentiation, hyperdense vessels, infarcted areas, or midline shift, depending on the severity and type of stroke. Prompt intervention is crucial to minimize neurological damage.",Hypodense areas in the affected region indicating ischemia or infarction; hyperdense artery sign in acute thrombosis.,"Midline shift, effacement of sulci, or ventricular compression in cases of mass effect or significant edema."
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",,
Perforation,"Gallbladder perforation is a life-threatening complication of severe cholecystitis, where the inflamed gallbladder wall ruptures, leading to bile leakage into the peritoneal cavity. This condition may present with sepsis, peritonitis, and localized abscess formation.",Discontinuity in the gallbladder wall with pericholecystic fluid collection.,Presence of localized abscess or free air in the peritoneal cavity.
Kidney Tumor,"A kidney tumor is an abnormal growth of tissue within the renal parenchyma, which can be benign or malignant in nature. Common types include renal cell carcinoma (RCC), the most prevalent malignant tumor, and benign lesions such as angiomyolipomas and oncocytomas. Kidney tumors may arise from the renal cortex, medulla, or collecting system, often presenting as solid or complex cystic masses with varying degrees of vascularity. Imaging findings such as irregular borders, heterogeneous enhancement, invasion into surrounding structures, or involvement of the renal vein or lymph nodes may indicate malignancy. Early detection is critical for timely intervention, as larger or aggressive tumors may impair renal function or metastasize.","Solid, irregular mass with heterogeneous echotexture and potential vascularity on Doppler imaging.","Evidence of distortion in renal architecture, possibly with invasion into adjacent structures."
Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",,
0Normal,"A normal knee demonstrates proper alignment with smooth articular surfaces, well-preserved joint spaces, intact menisci, ligaments, and cartilage. There is no evidence of osteophyte formation, joint effusion, or soft tissue abnormalities.",Normal joint space with smooth articular margins and no signs of osteophytes.,"No evidence of effusion, subchondral sclerosis, or soft tissue abnormalities."
Peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",,
Dimorphic hemorrhoids(piles),"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .",,
Normal Kidneys,"The kidneys are bilateral, bean-shaped organs located in the retroperitoneal space, responsible for filtration and excretion of metabolic waste, regulation of electrolytes, maintenance of acid-base balance, and blood pressure homeostasis. In a normal state, the kidneys exhibit symmetrical size and shape, smooth cortical outlines, and well-preserved corticomedullary differentiation. The renal parenchyma shows homogeneous echogenicity on ultrasound, with no evidence of masses, calculi, or hydronephrosis. Blood flow within the renal arteries and veins is unremarkable, ensuring adequate perfusion and function.","Normal renal size, shape, and echogenicity with intact corticomedullary differentiation.","No evidence of masses, calculi, or hydronephrosis."
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",,
meningioma,"Meningiomas are typically benign, slow-growing tumors that arise from the meninges, often found along the dural sinuses or skull base. On imaging, they commonly appear as well-circumscribed masses with homogeneous enhancement and a characteristic “dural tail” sign.",,
Aneurysm,"Aneurysms are abnormal dilations of cerebral arteries, often occurring at vessel bifurcations in the Circle of Willis. They can be saccular (""berry aneurysm""), fusiform, or dissecting.","Focal outpouching along the vessel wall, commonly at arterial bifurcations (e.g., anterior communicating artery, middle cerebral artery).","Subarachnoid hemorrhage or intraparenchymal hemorrhage may be seen, often accompanied by hydrocephalus or midline shift."
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",,
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",,
🩺 Fibrosis,"Scarring of lung tissue, leading to reduced elasticity and impaired gas exchange.","Reticular opacities and honeycombing, typically at lung bases.",Volume loss and traction bronchiectasis.
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",,
No Brain Tumor,"No evidence of intracranial mass lesion or abnormal enhancement observed. Brain parenchyma, ventricles, and cerebrospinal fluid spaces appear normal.",,
Urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",,
Polyps and Cholesterol Crystals,"Gallbladder polyps are growths arising from the mucosal lining, often benign but requiring monitoring due to malignant potential if over 10 mm in size. Cholesterol crystals appear as non-shadowing echogenic foci, commonly associated with cholesterolosis.","Sessile or pedunculated lesions along the gallbladder wall, with no posterior shadowing.",Echogenic foci representing cholesterol crystals.
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",,
🧬 Bacterial Pneumonia,"Lung infection caused by bacteria, leading to inflammation and alveolar filling with pus.",Lobar consolidation with air bronchograms.,Pleural effusion may be present.
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",,
Brain Cancer,"Brain cancer refers to malignant tumors arising from brain tissue (e.g., glioblastoma, astrocytoma) or metastases from systemic cancers. Imaging shows irregular, enhancing lesions, often with necrosis, surrounding edema, and mass effect.",,
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",,
1Doubtful,"Early or subtle changes in the knee joint, potentially indicative of minor cartilage wear or the onset of degenerative changes, often without significant symptoms.",Possible slight joint space narrowing or very minimal osteophyte formation.,No significant evidence of cartilage loss or subchondral changes.
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",,
Atelectasis,"Atelectasis is the collapse of a lung or part of a lung, also known as a lobe. It happens when tiny air sacs within the lung, called alveoli, lose air. Atelectasis is one of the most common breathing complications after surgery.",Increased density in the affected area with volume loss.,Shift of mediastinal structures toward the affected side.
Pituitary Lesion,"Pituitary lesions include adenomas, cysts, or hyperplasia. Microadenomas (<10 mm) may be subtle, while macroadenomas (>10 mm) can cause mass effect on the optic chiasm. Imaging often shows a well-defined lesion with variable contrast enhancement.",,
Normal Spine,"A normal spine has a natural alignment with four physiological curvatures: cervical and lumbar lordosis, thoracic and sacral kyphosis. Vertebral bodies are well-aligned, intervertebral discs maintain normal height, and there is no evidence of abnormal rotation, slippage, or structural deformity. The spinal cord and nerve roots are unobstructed, and surrounding soft tissues appear intact.",Normal alignment of vertebral bodies without evidence of rotation or displacement.,"Intervertebral disc spaces are well-preserved, with no signs of degeneration, compression, or abnormal curvature."
Hepatitis B,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",,
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",,
Cardiomegaly,"Enlargement of the heart, often due to underlying conditions like hypertension or heart failure.",Increased cardiothoracic ratio (>50%).,Prominent pulmonary vasculature in cases of heart failure.
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",,
Kidney Stone (Nephrolithiasis),"A kidney stone, or nephrolithiasis, is a hard, crystalline mineral deposit that forms within the renal parenchyma or collecting system due to supersaturation of urine with stone-forming substances such as calcium, oxalate, phosphate, or uric acid. Stones can vary in size, shape, and composition, ranging from small, asymptomatic calculi to larger stones causing obstruction, pain, or infection. Clinically, kidney stones may present with flank pain, hematuria, urinary urgency, or infection. Imaging typically reveals hyperechoic foci with posterior acoustic shadowing on ultrasound, or radiopaque densities on plain X-ray and CT. Early detection and management are essential to prevent complications like hydronephrosis, infection, or chronic kidney damage.",Hyperechoic focus with posterior acoustic shadowing.,Possible signs of mild hydronephrosis or ureteral dilation if obstruction is present.
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",,
glioma,"Gliomas are tumors that arise from glial cells in the brain or spinal cord. They vary in grade from low to high, with high-grade gliomas (e.g., glioblastoma) being more aggressive. Imaging typically shows irregular masses with heterogeneous enhancement and potential surrounding edema.",,
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",,
Adenomyomatosis,"Adenomyomatosis is a benign condition characterized by hyperplasia of the gallbladder mucosa, resulting in the formation of intramural diverticula called Rokitansky-Aschoff sinuses. It may present as focal, segmental, or diffuse wall thickening.",Diffuse gallbladder wall thickening with intramural cystic spaces.,“Comet-tail” artifacts on ultrasound due to intramural cholesterol crystals.
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",,
💧 Effusion (Pleural Effusion),"Fluid gathers in the lowest part of the chest, according to the patient's position. If the patient is upright when the X-ray is taken, then fluid will surround the lung base forming a 'meniscus' – a concave line obscuring the costophrenic angle and part or all of the hemidiaphragm.",A large free pleural effusion appears as a dependent opacity with lateral upward sloping of a meniscus-shaped contour.,Blunting of the costophrenic angles.Homogeneous opacity with meniscus sign.
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",,
Hepatitis E,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,,
2Mild ,"Mild degeneration of the knee joint, characterized by early cartilage thinning, minor osteophyte formation, and potential soft tissue involvement. Symptoms may include occasional discomfort or stiffness.",Small osteophytes at the joint margins.,"Mild narrowing of the joint space, with no significant subchondral sclerosis."
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",,
Infiltration,"A pulmonary infiltrate is a substance denser than air, such as pus, blood, or protein, which lingers within the parenchyma of the lungs.",Patchy or diffuse opacities in lung fields.,"Ill-defined margins, suggesting inflammatory processes."
BDC-BDR,"This refers to the pointed or rounded elevation of enamel located on the buccal side of the molar, towards the distal (back) end of the tooth. It plays a role in grinding food during chewing and is a key feature in identifying and classifying molars. BDR (Buccal Distal Ridge)  is a raised area or linear elevation running along the buccal side, extending from the buccal distal cusp towards the distal part of the tooth. It contributes to the overall shape and function of the occlusal (chewing) surface.","Flattening of the cusp due to grinding, clenching, or normal wear over time.",Plaque or Calculus Buildup is found Common along the ridge due to its anatomy creating plaque-retentive areas.
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",,
Carcinoma,"Gallbladder carcinoma is a rare but aggressive malignancy arising from the epithelial lining. It often presents late, with nonspecific symptoms like jaundice, weight loss, and persistent right upper quadrant pain.",Irregular mass replacing normal gallbladder architecture.,Invasion into adjacent liver tissue or lymph nodes.
Malignant Breast,A cancerous growth in the breast that has the potential to invade nearby tissues and spread to other parts of the body.,"Irregular, spiculated, or poorly defined masses.","Presence of microcalcifications, architectural distortion, or skin thickening."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",,
Benign Breast,"A non-cancerous condition or growth in the breast, such as fibroadenomas, cysts, or fibrocystic changes, that does not invade surrounding tissues.","Well-defined, smooth, and round masses with distinct borders",Absence of microcalcifications or spiculations.
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",,
Gallbladder Wall Thickening,"Gallbladder wall thickening can be caused by inflammatory, benign, and malignant aetiologies. Pseudothickening caused by the normal postprandial state of the contracted gallbladder is also extremely common",Uniform or focal thickening of the gallbladder wall.,Associated findings such as pericholecystic fluid or biliary sludge.
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",,
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",,
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",,
Caries ,"A progressive destruction of tooth structure caused by acids produced by bacteria in plaque, leading to cavities.","Visible pits, holes, or discoloration.","Sensitivity or pain when consuming hot, cold, or sweet foods."
Normal Breast,"Breast tissue with no abnormalities, showing normal glandular, fatty, and connective tissues.",Symmetrical breast tissue with normal distribution of fat and glandular tissues.,"Absence of masses, calcifications, or architectural distortions."
3Moderate,"Moderate degeneration with noticeable cartilage loss, increased osteophyte formation, and potential subchondral sclerosis. Symptoms may include persistent pain, stiffness, and reduced range of motion.",Moderate joint space narrowing with more pronounced osteophyte formation.,Subchondral sclerosis and potential signs of early deformity.
